stop_id,stop_code,stop_name,stop_lat,stop_lon
166,"s116","Limbuška 47","46.557197","15.616584"
167,"s117","Limbuška 47","46.557069","15.616917"
168,"s233","Ljubljanska - Focheva","46.545020","15.643234"
169,"s234","Ljubljanska - Focheva","46.545074","15.643485"
170,"s231","Ljubljanska - II. gimn.","46.548748","15.645491"
171,"s232","Ljubljanska - II. gimn.","46.549561","15.645558"
172,"s192","Ljubljanska - stolpnica","46.536635","15.637329"
173,"s193","Ljubljanska - stolpnica","46.537296","15.638018"
174,"s194","Ljubljanska - TC Mercator","46.539467","15.639381"
175,"s195","Ljubljanska - TC Mercator","46.540333","15.639733"
176,"s191","Ljubljanska ul. 140","46.534075","15.635127"
177,"s190","Ljubljanska ul. 140","46.533502","15.634789"
178,"s270","Lorber","46.555131","15.697163"
179,"s271","Lorber","46.555402","15.696661"
180,"s227","UKC - Pobreška","46.554578","15.646762"
181,"s228","UKC - Pobreška","46.554476","15.647181"
182,"s230","Magdalenski park","46.552755","15.645782"
183,"s539","Oš Franca Rozmana Staneta","46.563044","15.654677"
184,"s308","Makedonska","46.542602","15.657619"
185,"s508","Makedonska","46.542353","15.657277"
186,"s272","Malečnik - odcep Trčova","46.553079","15.705175"
187,"s273","Malečnik - odcep Trčova","46.553011","15.705251"
188,"s280","Malečnik - odcep Trčova","46.552997","15.705808"
189,"s291","Malečnik - trgovina","46.552428","15.708238"
190,"s591","Malečnik - trgovina","46.552497","15.708171"
191,"s229","Maribor - UKC","46.553028","15.646453"
192,"s1","Maribor AP","46.560211","15.656321"
194,"s60","Mariborski otok - HE","46.570163","15.600708"
195,"s61","Mariborski otok - HE","46.570119","15.601352"
196,"s123","Marles","46.557844","15.596415"
198,"s103","Melje","46.559977","15.668180"
199,"s5","Prlek","46.560518","15.658035"
200,"s6","Prlek","46.560667","15.657971"
201,"s98","Meljska - trgovina","46.560634","15.663027"
202,"s99","Meljska - trgovina","46.560514","15.662161"
203,"s265","Meljski hrib - most","46.558419","15.681445"
204,"s266","Meljski hrib - most","46.558068","15.682489"
205,"s297","Metava","46.539722","15.732907"
206,"s296","Metava - Duplek  križišče","46.534851","15.731278"
207,"s596","Metava - Duplek  križišče","46.534931","15.731634"
208,"s286","Metava - odcep","46.550199","15.740111"
209,"s585","Metava - odcep","46.550119","15.740569"
210,"s2","Mlinska - AP","46.559605","15.655157"
211,"s600","Mlinska - AP","46.559717","15.655430"
212,"s198","Na Poljanah - Planet TUŠ","46.551745","15.628734"
213,"s199","Na Poljanah - Planet TUŠ","46.551892","15.628447"
214,"s89","Na prehodu","46.581964","15.666229"
215,"s84","Nadvoz","46.568097","15.659518"
216,"s306","Nasipna - Cizerl","46.545437","15.652773"
217,"s301","Nasipna - Snaga","46.550584","15.656246"
218,"s300","Nasipna - Snaga","46.551359","15.656685"
219,"s276","Nebova I","46.556982","15.720101"
220,"s277","Nebova I","46.557287","15.719664"
221,"s278","Nebova II","46.557705","15.725053"
222,"s279","Nebova II","46.557634","15.724085"
223,"s163","Nova vas 2","46.543159","15.624149"
224,"s164","Nova vas 2","46.543812","15.624338"
225,"s295","Novak","46.537613","15.724272"
226,"s595","Novak","46.537569","15.724293"
227,"s303","Ob gozdu","46.547933","15.656879"
228,"s304","Ob gozdu","46.547051","15.656968"
229,"s156","Ob ribniku","46.539426","15.598236"
230,"s101","Oreško nabrežje 1","46.556492","15.662919"
231,"s501","Oreško nabrežje 1","46.556392","15.661440"
235,"s368","Osojnikova","46.551776","15.664403"
236,"s369","Osojnikova - TVD Partizan","46.554105","15.665806"
238,"s364","OŠ Draga Kobala","46.546161","15.672361"
239,"s365","OŠ Draga Kobala","46.546369","15.672098"
240,"s161","OŠ Gustava Šiliha","46.540425","15.621986"
241,"s162","OŠ Gustava Šiliha","46.540432","15.622139"
242,"s159","OŠ Ludvika Pliberška","46.537644","15.620457"
243,"s160","OŠ Ludvika Pliberška","46.537643","15.620659"
244,"s218","OŠ Maksa Durjave","46.553481","15.639959"
245,"s219","OŠ Maksa Durjave","46.553781","15.639109"
246,"s175","OŠ Tabor 1","46.536735","15.631356"
247,"s176","OŠ Tabor 1","46.536681","15.631055"
248,"s130","Pekre","46.548544","15.594241"
249,"s131","Pekre","46.548657","15.594099"
250,"s151","Pekre","46.547527","15.593973"
251,"s262","Pobreška - Europark","46.554730","15.654307"
252,"s263","Pobreška - Europark","46.554732","15.653071"
253,"s144","Pohorska - Mlada lipa","46.539771","15.606151"
254,"s145","Pohorska - Mlada lipa","46.539628","15.605652"
255,"s146","Pohorska - pošta","46.537453","15.603781"
256,"s147","Pohorska - pošta","46.537233","15.603547"
257,"s329","Ptujska - Karantanska","46.518447","15.683862"
258,"s341","Karantanska","46.518501","15.687541"
259,"s339","Pokop. Dobrava - vhod","46.519089","15.692238"
260,"s338","Pokop. Dobrava - vhod","46.519089","15.691251"
261,"s340","Pokopališče Dobrava","46.519569","15.696044"
262,"s366","Pokopališče Pobrežje","46.550152","15.665808"
263,"s367","Pokopališče Pobrežje","46.550902","15.664378"
264,"s320","Poštni center","46.521946","15.671974"
